,name,id,height,weight,base_experience,stats,types,url
0,bulbasaur,1,7,69,64,"{'hp': 45, 'attack': 49, 'defense': 49, 'special-attack': 65, 'special-defense': 65, 'speed': 45}","['grass', 'poison']",https://pokeapi.co/api/v2/pokemon/1/
1,ivysaur,2,10,130,142,"{'hp': 60, 'attack': 62, 'defense': 63, 'special-attack': 80, 'special-defense': 80, 'speed': 60}","['grass', 'poison']",https://pokeapi.co/api/v2/pokemon/2/
2,venusaur,3,20,1000,263,"{'hp': 80, 'attack': 82, 'defense': 83, 'special-attack': 100, 'special-defense': 100, 'speed': 80}","['grass', 'poison']",https://pokeapi.co/api/v2/pokemon/3/
3,charmander,4,6,85,62,"{'hp': 39, 'attack': 52, 'defense': 43, 'special-attack': 60, 'special-defense': 50, 'speed': 65}",['fire'],https://pokeapi.co/api/v2/pokemon/4/
4,charmeleon,5,11,190,142,"{'hp': 58, 'attack': 64, 'defense': 58, 'special-attack': 80, 'special-defense': 65, 'speed': 80}",['fire'],https://pokeapi.co/api/v2/pokemon/5/
5,charizard,6,17,905,267,"{'hp': 78, 'attack': 84, 'defense': 78, 'special-attack': 109, 'special-defense': 85, 'speed': 100}","['fire', 'flying']",https://pokeapi.co/api/v2/pokemon/6/
6,squirtle,7,5,90,63,"{'hp': 44, 'attack': 48, 'defense': 65, 'special-attack': 50, 'special-defense': 64, 'speed': 43}",['water'],https://pokeapi.co/api/v2/pokemon/7/
7,wartortle,8,10,225,142,"{'hp': 59, 'attack': 63, 'defense': 80, 'special-attack': 65, 'special-defense': 80, 'speed': 58}",['water'],https://pokeapi.co/api/v2/pokemon/8/
8,blastoise,9,16,855,265,"{'hp': 79, 'attack': 83, 'defense': 100, 'special-attack': 85, 'special-defense': 105, 'speed': 78}",['water'],https://pokeapi.co/api/v2/pokemon/9/
9,caterpie,10,3,29,39,"{'hp': 45, 'attack': 30, 'defense': 35, 'special-attack': 20, 'special-defense': 20, 'speed': 45}",['bug'],https://pokeapi.co/api/v2/pokemon/10/
10,metapod,11,7,99,72,"{'hp': 50, 'attack': 20, 'defense': 55, 'special-attack': 25, 'special-defense': 25, 'speed': 30}",['bug'],https://pokeapi.co/api/v2/pokemon/11/
11,butterfree,12,11,320,198,"{'hp': 60, 'attack': 45, 'defense': 50, 'special-attack': 90, 'special-defense': 80, 'speed': 70}","['bug', 'flying']",https://pokeapi.co/api/v2/pokemon/12/
12,weedle,13,3,32,39,"{'hp': 40, 'attack': 35, 'defense': 30, 'special-attack': 20, 'special-defense': 20, 'speed': 50}","['bug', 'poison']",https://pokeapi.co/api/v2/pokemon/13/
13,kakuna,14,6,100,72,"{'hp': 45, 'attack': 25, 'defense': 50, 'special-attack': 25, 'special-defense': 25, 'speed': 35}","['bug', 'poison']",https://pokeapi.co/api/v2/pokemon/14/
14,beedrill,15,10,295,178,"{'hp': 65, 'attack': 90, 'defense': 40, 'special-attack': 45, 'special-defense': 80, 'speed': 75}","['bug', 'poison']",https://pokeapi.co/api/v2/pokemon/15/
15,pidgey,16,3,18,50,"{'hp': 40, 'attack': 45, 'defense': 40, 'special-attack': 35, 'special-defense': 35, 'speed': 56}","['normal', 'flying']",https://pokeapi.co/api/v2/pokemon/16/
16,pidgeotto,17,11,300,122,"{'hp': 63, 'attack': 60, 'defense': 55, 'special-attack': 50, 'special-defense': 50, 'speed': 71}","['normal', 'flying']",https://pokeapi.co/api/v2/pokemon/17/
17,pidgeot,18,15,395,216,"{'hp': 83, 'attack': 80, 'defense': 75, 'special-attack': 70, 'special-defense': 70, 'speed': 101}","['normal', 'flying']",https://pokeapi.co/api/v2/pokemon/18/
18,rattata,19,3,35,51,"{'hp': 30, 'attack': 56, 'defense': 35, 'special-attack': 25, 'special-defense': 35, 'speed': 72}",['normal'],https://pokeapi.co/api/v2/pokemon/19/
19,raticate,20,7,185,145,"{'hp': 55, 'attack': 81, 'defense': 60, 'special-attack': 50, 'special-defense': 70, 'speed': 97}",['normal'],https://pokeapi.co/api/v2/pokemon/20/
20,spearow,21,3,20,52,"{'hp': 40, 'attack': 60, 'defense': 30, 'special-attack': 31, 'special-defense': 31, 'speed': 70}","['normal', 'flying']",https://pokeapi.co/api/v2/pokemon/21/
21,fearow,22,12,380,155,"{'hp': 65, 'attack': 90, 'defense': 65, 'special-attack': 61, 'special-defense': 61, 'speed': 100}","['normal', 'flying']",https://pokeapi.co/api/v2/pokemon/22/
22,ekans,23,20,69,58,"{'hp': 35, 'attack': 60, 'defense': 44, 'special-attack': 40, 'special-defense': 54, 'speed': 55}",['poison'],https://pokeapi.co/api/v2/pokemon/23/
23,arbok,24,35,650,157,"{'hp': 60, 'attack': 95, 'defense': 69, 'special-attack': 65, 'special-defense': 79, 'speed': 80}",['poison'],https://pokeapi.co/api/v2/pokemon/24/
24,pikachu,25,4,60,112,"{'hp': 35, 'attack': 55, 'defense': 40, 'special-attack': 50, 'special-defense': 50, 'speed': 90}",['electric'],https://pokeapi.co/api/v2/pokemon/25/
25,raichu,26,8,300,243,"{'hp': 60, 'attack': 90, 'defense': 55, 'special-attack': 90, 'special-defense': 80, 'speed': 110}",['electric'],https://pokeapi.co/api/v2/pokemon/26/
26,sandshrew,27,6,120,60,"{'hp': 50, 'attack': 75, 'defense': 85, 'special-attack': 20, 'special-defense': 30, 'speed': 40}",['ground'],https://pokeapi.co/api/v2/pokemon/27/
27,sandslash,28,10,295,158,"{'hp': 75, 'attack': 100, 'defense': 110, 'special-attack': 45, 'special-defense': 55, 'speed': 65}",['ground'],https://pokeapi.co/api/v2/pokemon/28/
28,nidoran-f,29,4,70,55,"{'hp': 55, 'attack': 47, 'defense': 52, 'special-attack': 40, 'special-defense': 40, 'speed': 41}",['poison'],https://pokeapi.co/api/v2/pokemon/29/
29,nidorina,30,8,200,128,"{'hp': 70, 'attack': 62, 'defense': 67, 'special-attack': 55, 'special-defense': 55, 'speed': 56}",['poison'],https://pokeapi.co/api/v2/pokemon/30/
30,nidoqueen,31,13,600,253,"{'hp': 90, 'attack': 92, 'defense': 87, 'special-attack': 75, 'special-defense': 85, 'speed': 76}","['poison', 'ground']",https://pokeapi.co/api/v2/pokemon/31/
31,nidoran-m,32,5,90,55,"{'hp': 46, 'attack': 57, 'defense': 40, 'special-attack': 40, 'special-defense': 40, 'speed': 50}",['poison'],https://pokeapi.co/api/v2/pokemon/32/
32,nidorino,33,9,195,128,"{'hp': 61, 'attack': 72, 'defense': 57, 'special-attack': 55, 'special-defense': 55, 'speed': 65}",['poison'],https://pokeapi.co/api/v2/pokemon/33/
33,nidoking,34,14,620,253,"{'hp': 81, 'attack': 102, 'defense': 77, 'special-attack': 85, 'special-defense': 75, 'speed': 85}","['poison', 'ground']",https://pokeapi.co/api/v2/pokemon/34/
34,clefairy,35,6,75,113,"{'hp': 70, 'attack': 45, 'defense': 48, 'special-attack': 60, 'special-defense': 65, 'speed': 35}",['fairy'],https://pokeapi.co/api/v2/pokemon/35/
35,clefable,36,13,400,242,"{'hp': 95, 'attack': 70, 'defense': 73, 'special-attack': 95, 'special-defense': 90, 'speed': 60}",['fairy'],https://pokeapi.co/api/v2/pokemon/36/
36,vulpix,37,6,99,60,"{'hp': 38, 'attack': 41, 'defense': 40, 'special-attack': 50, 'special-defense': 65, 'speed': 65}",['fire'],https://pokeapi.co/api/v2/pokemon/37/
37,ninetales,38,11,199,177,"{'hp': 73, 'attack': 76, 'defense': 75, 'special-attack': 81, 'special-defense': 100, 'speed': 100}",['fire'],https://pokeapi.co/api/v2/pokemon/38/
38,jigglypuff,39,5,55,95,"{'hp': 115, 'attack': 45, 'defense': 20, 'special-attack': 45, 'special-defense': 25, 'speed': 20}","['normal', 'fairy']",https://pokeapi.co/api/v2/pokemon/39/
39,wigglytuff,40,10,120,218,"{'hp': 140, 'attack': 70, 'defense': 45, 'special-attack': 85, 'special-defense': 50, 'speed': 45}","['normal', 'fairy']",https://pokeapi.co/api/v2/pokemon/40/
40,zubat,41,8,75,49,"{'hp': 40, 'attack': 45, 'defense': 35, 'special-attack': 30, 'special-defense': 40, 'speed': 55}","['poison', 'flying']",https://pokeapi.co/api/v2/pokemon/41/
41,golbat,42,16,550,159,"{'hp': 75, 'attack': 80, 'defense': 70, 'special-attack': 65, 'special-defense': 75, 'speed': 90}","['poison', 'flying']",https://pokeapi.co/api/v2/pokemon/42/
42,oddish,43,5,54,64,"{'hp': 45, 'attack': 50, 'defense': 55, 'special-attack': 75, 'special-defense': 65, 'speed': 30}","['grass', 'poison']",https://pokeapi.co/api/v2/pokemon/43/
43,gloom,44,8,86,138,"{'hp': 60, 'attack': 65, 'defense': 70, 'special-attack': 85, 'special-defense': 75, 'speed': 40}","['grass', 'poison']",https://pokeapi.co/api/v2/pokemon/44/
44,vileplume,45,12,186,245,"{'hp': 75, 'attack': 80, 'defense': 85, 'special-attack': 110, 'special-defense': 90, 'speed': 50}","['grass', 'poison']",https://pokeapi.co/api/v2/pokemon/45/
45,paras,46,3,54,57,"{'hp': 35, 'attack': 70, 'defense': 55, 'special-attack': 45, 'special-defense': 55, 'speed': 25}","['bug', 'grass']",https://pokeapi.co/api/v2/pokemon/46/
46,parasect,47,10,295,142,"{'hp': 60, 'attack': 95, 'defense': 80, 'special-attack': 60, 'special-defense': 80, 'speed': 30}","['bug', 'grass']",https://pokeapi.co/api/v2/pokemon/47/
47,venonat,48,10,300,61,"{'hp': 60, 'attack': 55, 'defense': 50, 'special-attack': 40, 'special-defense': 55, 'speed': 45}","['bug', 'poison']",https://pokeapi.co/api/v2/pokemon/48/
48,venomoth,49,15,125,158,"{'hp': 70, 'attack': 65, 'defense': 60, 'special-attack': 90, 'special-defense': 75, 'speed': 90}","['bug', 'poison']",https://pokeapi.co/api/v2/pokemon/49/
49,diglett,50,2,8,53,"{'hp': 10, 'attack': 55, 'defense': 25, 'special-attack': 35, 'special-defense': 45, 'speed': 95}",['ground'],https://pokeapi.co/api/v2/pokemon/50/
50,dugtrio,51,7,333,149,"{'hp': 35, 'attack': 100, 'defense': 50, 'special-attack': 50, 'special-defense': 70, 'speed': 120}",['ground'],https://pokeapi.co/api/v2/pokemon/51/
51,meowth,52,4,42,58,"{'hp': 40, 'attack': 45, 'defense': 35, 'special-attack': 40, 'special-defense': 40, 'speed': 90}",['normal'],https://pokeapi.co/api/v2/pokemon/52/
52,persian,53,10,320,154,"{'hp': 65, 'attack': 70, 'defense': 60, 'special-attack': 65, 'special-defense': 65, 'speed': 115}",['normal'],https://pokeapi.co/api/v2/pokemon/53/
53,psyduck,54,8,196,64,"{'hp': 50, 'attack': 52, 'defense': 48, 'special-attack': 65, 'special-defense': 50, 'speed': 55}",['water'],https://pokeapi.co/api/v2/pokemon/54/
54,golduck,55,17,766,175,"{'hp': 80, 'attack': 82, 'defense': 78, 'special-attack': 95, 'special-defense': 80, 'speed': 85}",['water'],https://pokeapi.co/api/v2/pokemon/55/
55,mankey,56,5,280,61,"{'hp': 40, 'attack': 80, 'defense': 35, 'special-attack': 35, 'special-defense': 45, 'speed': 70}",['fighting'],https://pokeapi.co/api/v2/pokemon/56/
56,primeape,57,10,320,159,"{'hp': 65, 'attack': 105, 'defense': 60, 'special-attack': 60, 'special-defense': 70, 'speed': 95}",['fighting'],https://pokeapi.co/api/v2/pokemon/57/
57,growlithe,58,7,190,70,"{'hp': 55, 'attack': 70, 'defense': 45, 'special-attack': 70, 'special-defense': 50, 'speed': 60}",['fire'],https://pokeapi.co/api/v2/pokemon/58/
58,arcanine,59,19,1550,194,"{'hp': 90, 'attack': 110, 'defense': 80, 'special-attack': 100, 'special-defense': 80, 'speed': 95}",['fire'],https://pokeapi.co/api/v2/pokemon/59/
59,poliwag,60,6,124,60,"{'hp': 40, 'attack': 50, 'defense': 40, 'special-attack': 40, 'special-defense': 40, 'speed': 90}",['water'],https://pokeapi.co/api/v2/pokemon/60/
60,poliwhirl,61,10,200,135,"{'hp': 65, 'attack': 65, 'defense': 65, 'special-attack': 50, 'special-defense': 50, 'speed': 90}",['water'],https://pokeapi.co/api/v2/pokemon/61/
61,poliwrath,62,13,540,255,"{'hp': 90, 'attack': 95, 'defense': 95, 'special-attack': 70, 'special-defense': 90, 'speed': 70}","['water', 'fighting']",https://pokeapi.co/api/v2/pokemon/62/
62,abra,63,9,195,62,"{'hp': 25, 'attack': 20, 'defense': 15, 'special-attack': 105, 'special-defense': 55, 'speed': 90}",['psychic'],https://pokeapi.co/api/v2/pokemon/63/
63,kadabra,64,13,565,140,"{'hp': 40, 'attack': 35, 'defense': 30, 'special-attack': 120, 'special-defense': 70, 'speed': 105}",['psychic'],https://pokeapi.co/api/v2/pokemon/64/
64,alakazam,65,15,480,250,"{'hp': 55, 'attack': 50, 'defense': 45, 'special-attack': 135, 'special-defense': 95, 'speed': 120}",['psychic'],https://pokeapi.co/api/v2/pokemon/65/
65,machop,66,8,195,61,"{'hp': 70, 'attack': 80, 'defense': 50, 'special-attack': 35, 'special-defense': 35, 'speed': 35}",['fighting'],https://pokeapi.co/api/v2/pokemon/66/
66,machoke,67,15,705,142,"{'hp': 80, 'attack': 100, 'defense': 70, 'special-attack': 50, 'special-defense': 60, 'speed': 45}",['fighting'],https://pokeapi.co/api/v2/pokemon/67/
67,machamp,68,16,1300,253,"{'hp': 90, 'attack': 130, 'defense': 80, 'special-attack': 65, 'special-defense': 85, 'speed': 55}",['fighting'],https://pokeapi.co/api/v2/pokemon/68/
68,bellsprout,69,7,40,60,"{'hp': 50, 'attack': 75, 'defense': 35, 'special-attack': 70, 'special-defense': 30, 'speed': 40}","['grass', 'poison']",https://pokeapi.co/api/v2/pokemon/69/
69,weepinbell,70,10,64,137,"{'hp': 65, 'attack': 90, 'defense': 50, 'special-attack': 85, 'special-defense': 45, 'speed': 55}","['grass', 'poison']",https://pokeapi.co/api/v2/pokemon/70/
70,victreebel,71,17,155,221,"{'hp': 80, 'attack': 105, 'defense': 65, 'special-attack': 100, 'special-defense': 70, 'speed': 70}","['grass', 'poison']",https://pokeapi.co/api/v2/pokemon/71/
71,tentacool,72,9,455,67,"{'hp': 40, 'attack': 40, 'defense': 35, 'special-attack': 50, 'special-defense': 100, 'speed': 70}","['water', 'poison']",https://pokeapi.co/api/v2/pokemon/72/
72,tentacruel,73,16,550,180,"{'hp': 80, 'attack': 70, 'defense': 65, 'special-attack': 80, 'special-defense': 120, 'speed': 100}","['water', 'poison']",https://pokeapi.co/api/v2/pokemon/73/
73,geodude,74,4,200,60,"{'hp': 40, 'attack': 80, 'defense': 100, 'special-attack': 30, 'special-defense': 30, 'speed': 20}","['rock', 'ground']",https://pokeapi.co/api/v2/pokemon/74/
74,graveler,75,10,1050,137,"{'hp': 55, 'attack': 95, 'defense': 115, 'special-attack': 45, 'special-defense': 45, 'speed': 35}","['rock', 'ground']",https://pokeapi.co/api/v2/pokemon/75/
75,golem,76,14,3000,223,"{'hp': 80, 'attack': 120, 'defense': 130, 'special-attack': 55, 'special-defense': 65, 'speed': 45}","['rock', 'ground']",https://pokeapi.co/api/v2/pokemon/76/
76,ponyta,77,10,300,82,"{'hp': 50, 'attack': 85, 'defense': 55, 'special-attack': 65, 'special-defense': 65, 'speed': 90}",['fire'],https://pokeapi.co/api/v2/pokemon/77/
77,rapidash,78,17,950,175,"{'hp': 65, 'attack': 100, 'defense': 70, 'special-attack': 80, 'special-defense': 80, 'speed': 105}",['fire'],https://pokeapi.co/api/v2/pokemon/78/
